popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
56,175307,2016-10-24,0.601,0.733,11,-2.466,1,0.0338,0.158,0.0,0.226,0.421,90.027
47,222000,2017-02-10,0.691,0.821,0,-4.527,1,0.0401,0.136,0.000115,0.092,0.759,104.961
81,175755,2018-12-10,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935
34,227333,2010-01-01,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971
63,206167,2018-11-09,0.768,0.472,4,-10.047,0,0.0493,0.475,0.0,0.11,0.145,110.024
51,270178,2012-01-01,0.43,0.405,10,-10.604,0,0.025,0.553,1.67e-05,0.0883,0.225,92.387
2,264463,2016-12-23,0.35,0.719,9,-6.043,1,0.0444,0.0882,1.42e-06,0.645,0.515,142.981
9,196630,2017-11-24,0.247,0.916,9,-4.148,0,0.0439,0.00206,0.158,0.345,0.14,149.168
48,206627,2011-11-15,0.444,0.627,7,-8.744,0,0.252,0.123,0.0,0.0795,0.359,98.21
12,270107,2013-11-29,0.709,0.502,9,-9.267,0,0.0283,0.558,7.9e-05,0.0917,0.551,86.042
72,176854,2020-12-04,0.64,0.863,5,-4.002,1,0.0322,0.038,0.0,0.294,0.725,81.003
48,244449,2019-10-09,0.643,0.712,1,-5.651,1,0.173,0.732,0.0,0.184,0.849,102.962
8,183011,2021-04-09,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959
67,208300,2018-04-18,0.599,0.932,11,-5.622,1,0.0407,0.00215,0.0,0.146,0.539,102.065
3,270000,2017-12-29,0.781,0.771,1,-6.917,1,0.0616,0.000601,0.498,0.0279,0.514,128.012
2,450870,2013-02-17,0.701,0.721,9,-6.853,1,0.0419,0.000301,0.306,0.895,0.285,138.007
32,210587,2012,0.694,0.801,0,-5.014,0,0.279,0.226,0.0,0.315,0.808,166.969
72,187467,2020-01-31,0.632,0.724,4,-4.821,1,0.0308,0.0384,0.0,0.0554,0.553,100.073
46,234853,2014-10-13,0.611,0.506,8,-9.859,0,0.0622,0.455,0.0504,0.125,0.527,90.031
45,236134,2016-02-11,0.473,0.286,10,-9.881,0,0.0471,0.667,0.00988,0.125,0.0729,128.067
74,201067,2021-02-12,0.572,0.691,6,-5.038,1,0.0314,0.163,0.0,0.14,0.36,130.974
39,183693,2011-01-01,0.721,0.681,0,-3.862,1,0.0385,0.0197,0.00336,0.711,0.412,119.023
54,248173,2011-02-01,0.353,0.762,3,-5.422,1,0.0386,0.00245,6.4e-06,0.0907,0.169,148.008
37,251888,2016-07-22,0.613,0.402,6,-5.666,0,0.0373,0.328,0.00163,0.0932,0.199,131.882
52,310227,2010-10-05,0.696,0.871,1,-6.482,1,0.0357,0.186,0.0282,0.173,0.8,118.938
33,364747,2019-12-13,0.256,0.473,1,-10.339,1,0.0609,0.313,0.000147,0.919,0.127,86.0
74,176732,2019-04-25,0.646,0.682,7,-5.847,1,0.0759,0.683,4.84e-06,0.107,0.421,131.895
61,196600,2016-06-17,0.926,0.336,0,-9.326,0,0.594,0.0392,0.0,0.138,0.38,92.995
41,184827,2011-05-13,0.757,0.503,4,-7.258,0,0.0448,0.0537,0.0846,0.375,0.327,125.96
17,326947,2016-05-13,0.313,0.931,3,-4.116,0,0.0902,0.0397,1.1e-06,0.39,0.234,170.0
67,156195,2018-10-12,0.853,0.637,3,-5.924,0,0.331,0.129,0.0,0.267,0.496,86.048
54,179821,2016-10-28,0.438,0.992,11,-4.228,0,0.102,1.6e-05,6.53e-05,0.318,0.466,159.96
18,177775,2015-09-25,0.503,0.279,2,-12.755,1,0.0281,0.0174,0.0,0.214,0.177,133.558
8,267138,2020-02-15,0.694,0.447,0,-6.927,1,0.027,0.118,0.000486,0.159,0.0758,132.053
75,177600,2018-01-12,0.546,0.822,7,-4.483,1,0.151,0.0145,0.0,0.742,0.615,150.06
11,223587,2011-10-24,0.659,0.688,4,-6.502,0,0.0566,0.0847,0.0,0.971,0.611,111.198
76,205680,2015-08-14,0.571,0.481,9,-7.179,1,0.0444,0.697,0.0,0.089,0.0807,113.753
54,220147,2010-09-03,0.347,0.916,2,-4.197,1,0.0741,0.00287,0.0,0.159,0.369,166.874
59,235520,2010-11-15,0.786,0.716,11,-4.253,0,0.0409,0.102,1.72e-05,0.0557,0.595,125.921
62,204785,2015-08-28,0.677,0.744,1,-4.512,0,0.0882,0.279,0.0,0.119,0.531,145.928
