popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
82,160212,0.701,0.65,6,-6.313,1,0.104,0.291,0.0,0.112,0.647,90.003
82,181613,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982
82,159250,0.79,0.724,1,-6.972,1,0.0852,0.0696,2.33e-06,0.113,0.642,101.04
82,216721,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029
82,184560,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905
82,239317,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001
82,162547,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034
82,206167,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987
82,144391,0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978
82,192745,0.721,0.745,7,-3.508,0,0.0366,0.151,1.24e-06,0.372,0.699,90.988
82,191406,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97
82,242181,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948
82,199758,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048
82,180522,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003
82,184154,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959
82,187932,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986
82,217307,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
82,145543,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
82,199706,0.641,0.598,7,-5.7,0,0.324,0.381,0.0,0.0921,0.285,131.459
82,277592,0.661,0.819,11,-6.269,0,0.0519,0.167,0.0,0.0647,0.724,135.937
82,239667,0.546,0.453,7,-13.04,1,0.121,0.382,3.9e-05,0.106,0.74,104.532
82,137747,0.632,0.922,7,-2.173,1,0.0794,0.00558,1.81e-05,0.0927,0.497,88.972
82,177801,0.575,0.844,6,-4.89,0,0.072,0.00172,0.0,0.114,0.277,104.914
82,252307,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024
82,484147,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899
82,167990,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965
82,181720,0.616,0.741,7,-4.272,0,0.0426,0.00251,0.0,0.307,0.431,122.012
82,226220,0.575,0.609,5,-4.88,0,0.121,0.317,0.0,0.105,0.339,83.004
82,182438,0.88,0.662,0,-5.766,1,0.304,0.205,0.0,0.227,0.726,109.988
82,158033,0.613,0.631,4,-6.965,1,0.12,0.0663,0.0,0.169,0.33,149.992
82,192804,0.779,0.705,6,-5.891,0,0.163,0.00471,0.0,0.0971,0.196,140.005
82,183956,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
82,168649,0.723,0.646,5,-7.973,0,0.102,0.0206,0.352,0.0994,0.443,110.971
82,196373,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684
82,229360,0.72,0.802,1,-5.797,1,0.0582,0.0921,0.0,0.694,0.723,124.043
82,196813,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016
82,198213,0.247,0.438,5,-8.479,1,0.0358,0.0455,0.000871,0.111,0.39,185.716
82,203145,0.762,0.433,5,-8.937,1,0.187,0.143,0.0,0.118,0.394,122.074
82,182956,0.812,0.761,11,-5.222,1,0.0812,0.0465,0.000135,0.0601,0.344,130.032
82,203418,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274
82,180645,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039
82,239000,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043
82,213594,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984
82,228443,0.501,0.167,1,-14.061,1,0.0484,0.885,0.0,0.111,0.356,112.275
82,152913,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08
82,178480,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994
82,228267,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952
