popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,207400,2014-03-25,0.541,0.886,6,-3.958,1,0.0526,0.1,0.0,0.336,0.558,128.048
0,158903,2014-12-03,0.759,0.782,10,-12.76,0,0.0394,0.272,0.018,0.199,0.967,124.221
0,343800,2016-11-25,0.435,0.628,4,-7.719,1,0.0284,0.533,2.33e-05,0.0993,0.32,177.747
0,215000,2018-01-05,0.545,0.668,11,-6.513,0,0.0434,0.000118,0.000369,0.336,0.415,125.998
0,248000,2018-01-05,0.727,0.531,0,-10.022,1,0.0806,0.00843,0.0,0.238,0.546,150.008
0,314500,2019-03-09,0.674,0.546,5,-9.205,0,0.398,0.033,0.0,0.159,0.493,77.473
0,229540,2016-09-14,0.45,0.601,10,-10.007,1,0.0387,0.515,0.0,0.0917,0.511,124.875
0,251840,2021-04-09,0.646,0.571,2,-5.128,0,0.0254,0.618,0.00583,0.135,0.414,88.635
0,228813,2019-12-13,0.613,0.34,7,-7.936,1,0.0261,0.865,0.0,0.122,0.271,117.956
0,62001,2012-03-26,0.683,0.551,2,-7.783,1,0.327,0.813,0.0,0.734,0.781,94.057
0,214467,2013-03-29,0.795,0.448,5,-12.92,0,0.06,0.0955,0.25,0.104,0.962,116.267
0,280200,2013-03-29,0.536,0.494,0,-12.742,1,0.0449,0.0175,0.00661,0.375,0.929,203.607
0,252173,2013-03-29,0.638,0.454,0,-12.957,1,0.0403,0.122,1.31e-05,0.308,0.822,103.547
0,341427,2013-03-29,0.546,0.436,2,-13.286,1,0.0466,0.406,0.00917,0.0675,0.595,106.773
0,311027,2013-03-29,0.651,0.513,0,-15.215,1,0.0466,0.11,0.0538,0.117,0.922,103.054
0,255373,2013-03-29,0.699,0.47,0,-12.992,1,0.0353,0.0925,0.0,0.324,0.655,140.039
0,422800,2013-03-22,0.76,0.967,6,-6.229,0,0.121,0.00212,0.301,0.627,0.53,139.985
0,190949,2013-03-22,0.623,0.977,5,-7.094,0,0.118,0.0142,9.88e-06,0.333,0.662,144.067
0,245000,2018-01-05,0.715,0.446,1,-9.096,0,0.0358,0.112,1.59e-06,0.107,0.237,90.004
0,296880,2013-03-22,0.547,0.998,2,-5.968,1,0.072,0.000806,0.392,0.371,0.682,144.001
0,189000,2021-01-06,0.631,0.853,8,-4.514,1,0.0912,0.0622,0.0,0.0603,0.614,103.834
0,257000,2010-01-01,0.479,0.275,9,-11.148,1,0.0288,0.696,0.0,0.1,0.103,136.076
0,264987,2017-11-03,0.503,0.437,9,-7.139,1,0.028,0.733,0.0,0.199,0.235,132.517
0,254253,2019-03-29,0.67,0.806,0,-4.822,1,0.0263,0.219,0.0,0.222,0.689,147.073
